Creation Time,Marketplace Type,Body,Currency Code,Currency Amount,Billing Time Unit,Free Consultation included
Thu Oct 14 12:33:19 UTC 2021,SERVICE_MARKETPLACE,"Greetings,  Offering better value, quality, and service with the industry's #1 customized, comprehensive, confidential, and fully revitalized top-tier resume, cover letter, career coaching, and LinkedIn profile deliverables. All-in-one, white glove services backed by industry-leading credentials and a 60 Day Interview Guarantee!   More than just a Resume – Transformational branding experience with unmatched results supported by 10+ years of top-tier experience, 100s of recommendations, and elite credentials.   1 week for your professional brand and documentation to outperform 99% of other applicants.   Sample Resumes - Ivy League Resumes Website: www.IvyLeagueResume.com   Full Proposal: https://tinyurl.com/ResumeProposal  *In high-demand with limited availability  Credentials: #1 Recommended Executive Resume Writer on LinkedIn (345+ Recommendations)   *Nationally Certified Resume Writer (NCRW): Deemed Ph.D. of Resume Writing/Top .01% of Resume Writers   *Master of Arts (M.A.) Columbia University (Top 10) – Business Psychology Practitioner   *Board Certified Career Coach (BCC)/ Credentialed Coach (PCC) *Columbia University Alumni Career Coach   Celebrating 10+ years of supporting clients across most sectors.   Whats next?  Send a LinkedIn message for a proposal outlining the entire process and associated costs.   -Keith Miller, MA, NCRW, BCC, PCC, CPRW IvyLeagueResumes@yahoo.com  | (855) KEITH-MILLER",,,,
Thu Oct 14 12:33:19 UTC 2021,SERVICE_MARKETPLACE,,,,,
Thu Oct 14 12:33:19 UTC 2021,SERVICE_MARKETPLACE,,,,,
Thu Oct 14 12:33:19 UTC 2021,SERVICE_MARKETPLACE,,,,,
Thu Oct 14 12:33:19 UTC 2021,SERVICE_MARKETPLACE,"It sounds like you want to put your best foot forward and get your career branding and strategy under control.    Everything we create for you is custom written for your background and goals.  We listen to you and craft the career documentation you need to move ahead in your career.    The fastest and most effective way to provide you with a solution and an accurate idea of your investment, is a short, free 15-minute chat to clarify your needs, our process, and the best approach.  You can schedule a call by going to https://calendly.com/profinder/profinder. If it’s during regular business hours you can also call 215-839-0008  Our promise … we want to see you succeed and what you need isn’t something transactional, it has to be transformational.   We look forward to learning more about you.     ",,,,true
Thu Oct 14 12:33:19 UTC 2021,SERVICE_MARKETPLACE,"No - this isn’t an automated message, and yes I am a real person.   I am excited to talk to you as I have spent years staffing in your industry and value the opportunity to help people with developing their professional brand.  I believe in telling people what they need to hear, not what they want to hear.  What differentiates me from most people is I do not just have a bunch of certifications and education.  I have worked in staffing for two decades and know what hiring managers look for when making hiring decisions.  - 20+ Years of experience in recruiting and staffing - Considered to be a branding expert and master storyteller - Written over 6K+ ATS optimized resume – fancy layouts and graphics often do not work! - Placed over 3K people in various roles at all levels all over the world - Helped clients get promotions and even several levels up in one move - Some of my clients have seen 30-70% increases in pay - AND I can provide you their contact information to verify - Received 325+ recommendations on LinkedIn in the last 24 months, 180 just in the past 12 months - You will work directly with me.   This experience should feel like you are building a relationship with the person you are working with, not buying a product off of an infomercial.  I would love the opportunity to help you craft your brand and happy to schedule a FREE 30-minute conversation.    My packages start at $129  Thanks, Michael Glinter michael@glinterresumes.com",,,,true
Thu Oct 14 12:33:20 UTC 2021,SERVICE_MARKETPLACE,,,,,
Thu Oct 14 12:33:20 UTC 2021,SERVICE_MARKETPLACE,"Thanks for your request,     ▶ In Today's aggressive job market, your resume/LinkedIn need to do the following:  ● Show your professional brand value.  ● Pass ATS (applicant Tracking Software) scoring, LinkedIn search algorithms, and engage the human readers.  ● VALUE-BASED bullets/stories that blow away resumes that read like a job posting or obituary of responsibilities.  ● Highlight achievements, impacts, and contributions.  ● ATS friendly & modern style, and strategically formatted to guide recruiters' eyes.  ● Highlight strengths, leadership, and traits; we use DISCstyles Assessments.  ● Get you found by LinkedIn's SEO-algorithms.  ● Authentic to who you are.     Let's start with a complimentary 30-min review of your resume/LinkedIn, goals, and how we can impact your next career target. Please take one minute with a few basic questions to prepare for our call, then choose a time from my calendar.  Copy/Paste Link  https://form.jotform.com/CareerThinker/-profinder-resume-linkedin     ✅ When we speak, you will understand the value we bring to your career, future income, and investment cost.  ● Our clients are motivated by reaching/boosting 6-figure salaries and career/life balance.  ● Your investment to team with us for a full range of services generally falls less than ONE% of your target salary.  ● I will share candid, straightforward advice, and best practices; there is a lot of outdated information and advice out there.    Thanks, Tom Powner  ",,,,true
Thu Oct 14 12:33:20 UTC 2021,SERVICE_MARKETPLACE,,,,,
Thu Oct 14 12:33:20 UTC 2021,SERVICE_MARKETPLACE,"Hi there - I’m honored to receive your inquiry!    You can count on us to transform your qualifications into a compelling career story that will have employers wanting YOU to be on their team.    My team and I have been crafting compelling and interview-winning resumes for 10 years. Over the years, we have served thousands of professionals, crafting resumes that are intentional, value-based, and enticing.    To date we have:    •Assisted our clients in getting called back for interviews 3x faster     •Helped our clients land their DREAM JOB    •Positioned our clients to get salary increases up to $50,000    •Helped our clients get jobs at Fortune 500 companies    •Had clients go from unemployed for YEARS to employed in 60 days    •Helped clients get promoted    •Assisted clients with successfully changing careers    •Helped 1000's of clients worldwide    Our work has been featured in FORBES, The Wall Street Journal, CBS, FOX, NBC, and  National Association of Resume Writer's Ask The Experts Blog.    Each interview you secure is vital, and we aim to make every opportunity count!    Before we begin, though, let’s chat about your goals and make sure it’d be a good fit…    Mind if we schedule a quick phone call? I’d love to hear more about your specific career goals.    Just click here to book a time on my calendar:  https://sheassistsllc.as.me/    Have an amazing day!    Sincerely,  Demisha, CPRW  Chief Resume Writer    E: demisha@sheassists.com  W: www.sheassistsllc.com  *Payment Plans Now Available  ",,,,true
